"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","INT015_02_missingToken()","","Thu Dec 11 09:10:18 UTC 2025","broken","Thu Dec 11 09:10:18 UTC 2025","","com.phegon.FoodApp.integration.MenuIntegrationIT","com.phegon.FoodApp.integration.MenuIntegrationIT","INT015_02_missingToken"
"","1","INT020_04_cartNotFound()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT020_04_cartNotFound"
"","4","updateCategory_UpdateNameField()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.UpdateCategoryTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$UpdateCategoryTests","updateCategory_UpdateNameField"
"","1","INT021_03_cartNotFound()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT021_03_cartNotFound"
"","3","testGetOrderItemById_MenuMappingCorrect()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetOrderItemByIdTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetOrderItemByIdTests","testGetOrderItemById_MenuMappingCorrect"
"","4","testInitializePayment_StripeKeyNull()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testInitializePayment_StripeKeyNull"
"","4","testUpdatePayment_AmountNull()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testUpdatePayment_AmountNull"
"","3","testInitializePayment_StripeThrows()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testInitializePayment_StripeThrows"
"","0","INT022_02_getCart_empty()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT022_02_getCart_empty"
"","0","INT003e_userInactive()","","Thu Dec 11 09:10:17 UTC 2025","broken","Thu Dec 11 09:10:17 UTC 2025","","com.phegon.FoodApp.integration.UserIntegrationIT","com.phegon.FoodApp.integration.UserIntegrationIT","INT003e_userInactive"
"","3","testRegisterEmptyBody()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testRegisterEmptyBody"
"","3","testUpdatePayment_SaveOrderThrows()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testUpdatePayment_SaveOrderThrows"
"","0","INT022_03_unauthorized()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT022_03_unauthorized"
"","5","testGetOrderItemById_Success()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetOrderItemByIdTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetOrderItemByIdTests","testGetOrderItemById_Success"
"","1","INT008_06_nameSpacesOnly()","","Thu Dec 11 09:10:15 UTC 2025","broken","Thu Dec 11 09:10:15 UTC 2025","","com.phegon.FoodApp.integration.CategoryIntegrationIT","com.phegon.FoodApp.integration.CategoryIntegrationIT","INT008_06_nameSpacesOnly"
"","1","testUpdateOwnAccount_InvalidPhoneNumber_TooShort()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_InvalidPhoneNumber_TooShort"
"","3","testPlaceOrder_CartItemsNull()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.PlaceOrderFromCartTests","com.phegon.FoodApp.unit.OrderServiceImplTest$PlaceOrderFromCartTests","testPlaceOrder_CartItemsNull"
"","4","getCategoryById_FieldMappingCorrect()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.GetCategoryByIdTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$GetCategoryByIdTests","getCategoryById_FieldMappingCorrect"
"","2","testUpdateOwnAccount_UpdateAllFields()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_UpdateAllFields"
"","225","testInitializePayment_Success()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testInitializePayment_Success"
"","1","INT022_04_cartNotFound()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT022_04_cartNotFound"
